date_installation;departement;latitude;longitude;vitesse_vehicules_legers_kmh;id;emplacement
2010-02-12T00:00:00Z;57;49.11907;6.20408;;12923;METZ
2003-11-05T00:00:00Z;80;49.95842;2.85479;130;13598;HEM MONACU
2003-10-31T00:00:00Z;91;48.67029;2.27976;70;13599;LA VILLE DU BOIS
2003-10-31T00:00:00Z;91;48.63212;2.4065;110;13600;COURCOURONNES
2003-10-30T00:00:00Z;78;48.83313;2.08501;110;13601;BAILLY
2003-11-04T00:00:00Z;86;46.55483;0.28342;130;13602;VOUNEUIL SOUS BIARD
2003-10-31T00:00:00Z;67;48.57066;7.73904;70;13603;STRASBOURG
2003-10-31T00:00:00Z;67;48.67772;7.77558;130;13604;HOERDT
2012-02-13T00:00:00Z;6;43.655729;7.161446;50;13605;CAGNES SUR MER
2012-03-05T00:00:00Z;6;43.712;7.2714;50;13606;NICE
2012-02-13T00:00:00Z;6;43.707;7.2793;50;13607;NICE
2012-01-19T00:00:00Z;30;44.195;4.1338;90;13608;ROUSSON
2013-04-26T00:00:00Z;30;43.8356;4.402;90;13609;NIMES
2013-04-05T00:00:00Z;30;43.8356;4.4026;90;13610;NIMES
2012-01-27T00:00:00Z;30;43.956;3.8169;80;13611;LA CADIERE ET CAMBO
2014-06-20T00:00:00Z;30;43.951;3.796;80;13612;LA CADIERE ET CAMBO
2012-01-12T00:00:00Z;31;43.755;1.3626;80;13613;ST JORY
2012-01-30T00:00:00Z;31;43.077;0.6372;80;13614;MARTRES DE RIVIERE
2013-09-30T00:00:00Z;34;43.607;3.9227;70;13615;MONTPELLIER
2013-09-30T00:00:00Z;34;46.347;6.4331;70;13616;MONTPELLIER
2013-07-01T00:00:00Z;34;43.421;3.5489;80;13617;MEZE
2012-08-01T00:00:00Z;34;43.631954;3.82251;50;13618;MONTPELLIER
2012-02-13T00:00:00Z;35;47.93;-1.9418;50;13619;LA CHAPELLE BOUEXIC
2012-02-27T00:00:00Z;35;48.02;-1.8148;80;13620;GOVEN
2012-02-13T00:00:00Z;35;48.093;-1.9957;50;13621;IFFENDIC
2012-02-27T00:00:00Z;38;45.875;5.3577;80;13622;VERTRIEU
2012-04-06T00:00:00Z;38;45.05042;5.78997;70;13623;SECHILIENNE
2011-11-24T00:00:00Z;45;48.163;2.1271;80;13624;JOUY EN PITHIVERAIS
2012-06-08T00:00:00Z;49;47.48869;-0.50981;50;13625;ANGERS
2011-12-01T00:00:00Z;49;47.16631;-0.65357;80;13626;CHEMILLE EN ANJOU
2011-10-07T00:00:00Z;60;49.418;1.9433;50;13627;ONS EN BRAY
2011-10-20T00:00:00Z;60;49.367;2.2466;70;13628;HERMES
2011-11-14T00:00:00Z;60;49.336;2.0967;80;13629;AUTEUIL
2011-10-20T00:00:00Z;60;49.223;2.6117;50;13630;CHAMANT
2012-04-13T00:00:00Z;60;49.58704;2.1366;80;13631;FRANCASTEL
2011-09-22T00:00:00Z;60;49.50412;1.99173;50;13632;MILLY SUR THERAIN
2012-03-15T00:00:00Z;60;49.591;3.1108;50;13633;MONDESCOURT
2011-12-08T00:00:00Z;78;48.792;2.1795;70;13634;VELIZY VILLACOUBLAY
2011-10-08T00:00:00Z;78;48.766;1.9059;50;13635;COIGNIERES
2013-04-29T00:00:00Z;81;43.513;2.066;80;13636;LEMPAUT
2013-05-31T00:00:00Z;81;44.046;1.9998;80;13637;LIVERS CAZELLES
2012-01-19T00:00:00Z;83;43.156;5.7408;70;13638;BANDOL
2011-12-22T00:00:00Z;91;48.66542;2.33981;50;13639;VILLEMOISSON SUR ORGE
2012-03-22T00:00:00Z;22;48.313;-3.1479;70;13640;ST NICOLAS DU PELEM
2012-01-26T00:00:00Z;25;46.939;6.2086;80;13641;CHAPELLE D HUIN
2012-01-26T00:00:00Z;25;47.503;6.7248;70;13642;PRESENTEVILLERS
